date,product,quantity,price,region
2024-01-28,Monitor,84,108,West
2024-01-01,Headphones,85,109,North
2024-01-02,Laptop,86,110,South
2024-01-03,Mouse,87,111,East
2024-01-04,Keyboard,88,112,West
2024-01-05,Monitor,89,113,North
2024-01-06,Headphones,90,114,South
2024-01-07,Laptop,91,115,East
2024-01-08,Mouse,92,116,West
2024-01-09,Keyboard,93,117,North
2024-01-10,Monitor,94,118,South
2024-01-11,Headphones,95,119,East
2024-01-12,Laptop,96,120,West
2024-01-13,Mouse,97,121,North
2024-01-14,Keyboard,98,122,South
2024-01-15,Monitor,99,123,East
2024-01-16,Headphones,100,124,West
2024-01-17,Laptop,1,125,North
2024-01-18,Mouse,2,126,South
2024-01-19,Keyboard,3,127,East
2024-01-20,Monitor,4,128,West
2024-01-21,Headphones,5,129,North
2024-01-22,Laptop,6,130,South
2024-01-23,Mouse,7,131,East
2024-01-24,Keyboard,8,132,West
2024-01-25,Monitor,9,133,North
2024-01-26,Headphones,10,134,South
2024-01-27,Laptop,11,135,East
2024-01-28,Mouse,12,136,West
2024-01-01,Keyboard,13,137,North
2024-01-02,Monitor,14,138,South
2024-01-03,Headphones,15,139,East
2024-01-04,Laptop,16,140,West
2024-01-05,Mouse,17,141,North
2024-01-06,Keyboard,18,142,South
2024-01-07,Monitor,19,143,East
2024-01-08,Headphones,20,144,West
2024-01-09,Laptop,21,145,North
2024-01-10,Mouse,22,146,South
2024-01-11,Keyboard,23,147,East
2024-01-12,Monitor,24,148,West
2024-01-13,Headphones,25,149,North
2024-01-14,Laptop,26,150,South
2024-01-15,Mouse,27,151,East
2024-01-16,Keyboard,28,152,West
2024-01-17,Monitor,29,153,North
2024-01-18,Headphones,30,154,South
2024-01-19,Laptop,31,155,East
2024-01-20,Mouse,32,156,West
2024-01-21,Keyboard,33,157,North
2024-01-22,Monitor,34,158,South
2024-01-23,Headphones,35,159,East
2024-01-24,Laptop,36,160,West
2024-01-25,Mouse,37,161,North
2024-01-26,Keyboard,38,162,South
2024-01-27,Monitor,39,163,East
2024-01-28,Headphones,40,164,West
2024-01-01,Laptop,41,165,North
2024-01-02,Mouse,42,166,South
2024-01-03,Keyboard,43,167,East
2024-01-04,Monitor,44,168,West
2024-01-05,Headphones,45,169,North
2024-01-06,Laptop,46,170,South
2024-01-07,Mouse,47,171,East
2024-01-08,Keyboard,48,172,West
2024-01-09,Monitor,49,173,North
2024-01-10,Headphones,50,174,South
2024-01-11,Laptop,51,175,East
2024-01-12,Mouse,52,176,West
2024-01-13,Keyboard,53,177,North
2024-01-14,Monitor,54,178,South
2024-01-15,Headphones,55,179,East
2024-01-16,Laptop,56,180,West
2024-01-17,Mouse,57,181,North
2024-01-18,Keyboard,58,182,South
2024-01-19,Monitor,59,183,East
2024-01-20,Headphones,60,184,West
2024-01-21,Laptop,61,185,North
2024-01-22,Mouse,62,186,South
2024-01-23,Keyboard,63,187,East
2024-01-24,Monitor,64,188,West
2024-01-25,Headphones,65,189,North
2024-01-26,Laptop,66,190,South
2024-01-27,Mouse,67,191,East
2024-01-28,Keyboard,68,192,West
2024-01-01,Monitor,69,193,North
2024-01-02,Headphones,70,194,South
2024-01-03,Laptop,71,195,East
2024-01-04,Mouse,72,196,West
2024-01-05,Keyboard,73,197,North
2024-01-06,Monitor,74,198,South
2024-01-07,Headphones,75,199,East
2024-01-08,Laptop,76,200,West
2024-01-09,Mouse,77,201,North
2024-01-10,Keyboard,78,202,South
2024-01-11,Monitor,79,203,East
2024-01-12,Headphones,80,204,West
2024-01-13,Laptop,81,205,North
2024-01-14,Mouse,82,206,South
2024-01-15,Keyboard,83,207,East
2024-01-16,Monitor,84,208,West
2024-01-17,Headphones,85,209,North
2024-01-18,Laptop,86,210,South
2024-01-19,Mouse,87,211,East
2024-01-20,Keyboard,88,212,West
2024-01-21,Monitor,89,213,North
2024-01-22,Headphones,90,214,South
2024-01-23,Laptop,91,215,East
2024-01-24,Mouse,92,216,West
2024-01-25,Keyboard,93,217,North
2024-01-26,Monitor,94,218,South
2024-01-27,Headphones,95,219,East
2024-01-28,Laptop,96,220,West
2024-01-01,Mouse,97,221,North
2024-01-02,Keyboard,98,222,South
2024-01-03,Monitor,99,223,East
2024-01-04,Headphones,100,224,West
2024-01-05,Laptop,1,225,North
2024-01-06,Mouse,2,226,South
2024-01-07,Keyboard,3,227,East
2024-01-08,Monitor,4,228,West
2024-01-09,Headphones,5,229,North
2024-01-10,Laptop,6,230,South
2024-01-11,Mouse,7,231,East
2024-01-12,Keyboard,8,232,West
2024-01-13,Monitor,9,233,North
2024-01-14,Headphones,10,234,South
2024-01-15,Laptop,11,235,East
2024-01-16,Mouse,12,236,West
2024-01-17,Keyboard,13,237,North
2024-01-18,Monitor,14,238,South
2024-01-19,Headphones,15,239,East
2024-01-20,Laptop,16,240,West
2024-01-21,Mouse,17,241,North
2024-01-22,Keyboard,18,242,South
2024-01-23,Monitor,19,243,East
2024-01-24,Headphones,20,244,West
2024-01-25,Laptop,21,245,North
2024-01-26,Mouse,22,246,South
2024-01-27,Keyboard,23,247,East
2024-01-28,Monitor,24,248,West
2024-01-01,Headphones,25,249,North
2024-01-02,Laptop,26,250,South
2024-01-03,Mouse,27,251,East
2024-01-04,Keyboard,28,252,West
2024-01-05,Monitor,29,253,North
2024-01-06,Headphones,30,254,South
2024-01-07,Laptop,31,255,East
2024-01-08,Mouse,32,256,West
2024-01-09,Keyboard,33,257,North
2024-01-10,Monitor,34,258,South
2024-01-11,Headphones,35,259,East
2024-01-12,Laptop,36,260,West
2024-01-13,Mouse,37,261,North
2024-01-14,Keyboard,38,262,South
2024-01-15,Monitor,39,263,East
2024-01-16,Headphones,40,264,West
2024-01-17,Laptop,41,265,North
2024-01-18,Mouse,42,266,South
2024-01-19,Keyboard,43,267,East
2024-01-20,Monitor,44,268,West
2024-01-21,Headphones,45,269,North
2024-01-22,Laptop,46,270,South
2024-01-23,Mouse,47,271,East
2024-01-24,Keyboard,48,272,West
2024-01-25,Monitor,49,273,North
2024-01-26,Headphones,50,274,South
2024-01-27,Laptop,51,275,East
2024-01-28,Mouse,52,276,West
2024-01-01,Keyboard,53,277,North
2024-01-02,Monitor,54,278,South
2024-01-03,Headphones,55,279,East
2024-01-04,Laptop,56,280,West
2024-01-05,Mouse,57,281,North
2024-01-06,Keyboard,58,282,South
2024-01-07,Monitor,59,283,East
2024-01-08,Headphones,60,284,West
2024-01-09,Laptop,61,285,North
2024-01-10,Mouse,62,286,South
2024-01-11,Keyboard,63,287,East
2024-01-12,Monitor,64,288,West
2024-01-13,Headphones,65,289,North
2024-01-14,Laptop,66,290,South
2024-01-15,Mouse,67,291,East
2024-01-16,Keyboard,68,292,West
2024-01-17,Monitor,69,293,North
2024-01-18,Headphones,70,294,South
2024-01-19,Laptop,71,295,East
2024-01-20,Mouse,72,296,West
2024-01-21,Keyboard,73,297,North
2024-01-22,Monitor,74,298,South
2024-01-23,Headphones,75,299,East
2024-01-24,Laptop,76,300,West
2024-01-25,Mouse,77,301,North
2024-01-26,Keyboard,78,302,South
2024-01-27,Monitor,79,303,East
2024-01-28,Headphones,80,304,West
2024-01-01,Laptop,81,305,North
2024-01-02,Mouse,82,306,South
2024-01-03,Keyboard,83,307,East
2024-01-04,Monitor,84,308,West
2024-01-05,Headphones,85,309,North
2024-01-06,Laptop,86,310,South
2024-01-07,Mouse,87,311,East
2024-01-08,Keyboard,88,312,West
2024-01-09,Monitor,89,313,North
2024-01-10,Headphones,90,314,South
2024-01-11,Laptop,91,315,East
2024-01-12,Mouse,92,316,West
2024-01-13,Keyboard,93,317,North
2024-01-14,Monitor,94,318,South
2024-01-15,Headphones,95,319,East
2024-01-16,Laptop,96,320,West
2024-01-17,Mouse,97,321,North
2024-01-18,Keyboard,98,322,South
2024-01-19,Monitor,99,323,East
2024-01-20,Headphones,100,324,West
2024-01-21,Laptop,1,325,North
2024-01-22,Mouse,2,326,South
2024-01-23,Keyboard,3,327,East
2024-01-24,Monitor,4,328,West
2024-01-25,Headphones,5,329,North
2024-01-26,Laptop,6,330,South
2024-01-27,Mouse,7,331,East
2024-01-28,Keyboard,8,332,West
2024-01-01,Monitor,9,333,North
2024-01-02,Headphones,10,334,South
2024-01-03,Laptop,11,335,East
2024-01-04,Mouse,12,336,West
2024-01-05,Keyboard,13,337,North
2024-01-06,Monitor,14,338,South
2024-01-07,Headphones,15,339,East
2024-01-08,Laptop,16,340,West
2024-01-09,Mouse,17,341,North
2024-01-10,Keyboard,18,342,South
2024-01-11,Monitor,19,343,East
2024-01-12,Headphones,20,344,West
2024-01-13,Laptop,21,345,North
2024-01-14,Mouse,22,346,South
2024-01-15,Keyboard,23,347,East
2024-01-16,Monitor,24,348,West
2024-01-17,Headphones,25,349,North
2024-01-18,Laptop,26,350,South
2024-01-19,Mouse,27,351,East
2024-01-20,Keyboard,28,352,West
2024-01-21,Monitor,29,353,North
2024-01-22,Headphones,30,354,South
2024-01-23,Laptop,31,355,East
2024-01-24,Mouse,32,356,West
2024-01-25,Keyboard,33,357,North
2024-01-26,Monitor,34,358,South
2024-01-27,Headphones,35,359,East
2024-01-28,Laptop,36,360,West
2024-01-01,Mouse,37,361,North
2024-01-02,Keyboard,38,362,South
2024-01-03,Monitor,39,363,East
2024-01-04,Headphones,40,364,West
2024-01-05,Laptop,41,365,North
2024-01-06,Mouse,42,366,South
2024-01-07,Keyboard,43,367,East
2024-01-08,Monitor,44,368,West
2024-01-09,Headphones,45,369,North
2024-01-10,Laptop,46,370,South
2024-01-11,Mouse,47,371,East
2024-01-12,Keyboard,48,372,West
2024-01-13,Monitor,49,373,North
2024-01-14,Headphones,50,374,South
2024-01-15,Laptop,51,375,East
2024-01-16,Mouse,52,376,West
2024-01-17,Keyboard,53,377,North
2024-01-18,Monitor,54,378,South
2024-01-19,Headphones,55,379,East
2024-01-20,Laptop,56,380,West
2024-01-21,Mouse,57,381,North
2024-01-22,Keyboard,58,382,South
2024-01-23,Monitor,59,383,East
2024-01-24,Headphones,60,384,West
2024-01-25,Laptop,61,385,North
2024-01-26,Mouse,62,386,South
2024-01-27,Keyboard,63,387,East
2024-01-28,Monitor,64,388,West
2024-01-01,Headphones,65,389,North
2024-01-02,Laptop,66,390,South
2024-01-03,Mouse,67,391,East
2024-01-04,Keyboard,68,392,West
2024-01-05,Monitor,69,393,North
2024-01-06,Headphones,70,394,South
2024-01-07,Laptop,71,395,East
2024-01-08,Mouse,72,396,West
2024-01-09,Keyboard,73,397,North
2024-01-10,Monitor,74,398,South
2024-01-11,Headphones,75,399,East
2024-01-12,Laptop,76,400,West
2024-01-13,Mouse,77,401,North
2024-01-14,Keyboard,78,402,South
2024-01-15,Monitor,79,403,East
2024-01-16,Headphones,80,404,West
2024-01-17,Laptop,81,405,North
2024-01-18,Mouse,82,406,South
2024-01-19,Keyboard,83,407,East
2024-01-20,Monitor,84,408,West
2024-01-21,Headphones,85,409,North
2024-01-22,Laptop,86,410,South
2024-01-23,Mouse,87,411,East
2024-01-24,Keyboard,88,412,West
2024-01-25,Monitor,89,413,North
2024-01-26,Headphones,90,414,South
2024-01-27,Laptop,91,415,East
2024-01-28,Mouse,92,416,West
2024-01-01,Keyboard,93,417,North
2024-01-02,Monitor,94,418,South
2024-01-03,Headphones,95,419,East
2024-01-04,Laptop,96,420,West
2024-01-05,Mouse,97,421,North
2024-01-06,Keyboard,98,422,South
2024-01-07,Monitor,99,423,East
2024-01-08,Headphones,100,424,West
2024-01-09,Laptop,1,425,North
2024-01-10,Mouse,2,426,South
2024-01-11,Keyboard,3,427,East
2024-01-12,Monitor,4,428,West
2024-01-13,Headphones,5,429,North
2024-01-14,Laptop,6,430,South
2024-01-15,Mouse,7,431,East
2024-01-16,Keyboard,8,432,West
2024-01-17,Monitor,9,433,North
2024-01-18,Headphones,10,434,South
2024-01-19,Laptop,11,435,East
2024-01-20,Mouse,12,436,West
2024-01-21,Keyboard,13,437,North
2024-01-22,Monitor,14,438,South
2024-01-23,Headphones,15,439,East
2024-01-24,Laptop,16,440,West
2024-01-25,Mouse,17,441,North
2024-01-26,Keyboard,18,442,South
2024-01-27,Monitor,19,443,East
2024-01-28,Headphones,20,444,West
2024-01-01,Laptop,21,445,North
2024-01-02,Mouse,22,446,South
2024-01-03,Keyboard,23,447,East
2024-01-04,Monitor,24,448,West
2024-01-05,Headphones,25,449,North
2024-01-06,Laptop,26,450,South
2024-01-07,Mouse,27,451,East
2024-01-08,Keyboard,28,452,West
2024-01-09,Monitor,29,453,North
2024-01-10,Headphones,30,454,South
2024-01-11,Laptop,31,455,East
2024-01-12,Mouse,32,456,West
2024-01-13,Keyboard,33,457,North
2024-01-14,Monitor,34,458,South
2024-01-15,Headphones,35,459,East
2024-01-16,Laptop,36,460,West
2024-01-17,Mouse,37,461,North
2024-01-18,Keyboard,38,462,South
2024-01-19,Monitor,39,463,East
2024-01-20,Headphones,40,464,West
2024-01-21,Laptop,41,465,North
2024-01-22,Mouse,42,466,South
2024-01-23,Keyboard,43,467,East
2024-01-24,Monitor,44,468,West
2024-01-25,Headphones,45,469,North
2024-01-26,Laptop,46,470,South
2024-01-27,Mouse,47,471,East
2024-01-28,Keyboard,48,472,West
2024-01-01,Monitor,49,473,North
2024-01-02,Headphones,50,474,South
2024-01-03,Laptop,51,475,East
2024-01-04,Mouse,52,476,West
2024-01-05,Keyboard,53,477,North
2024-01-06,Monitor,54,478,South
2024-01-07,Headphones,55,479,East
2024-01-08,Laptop,56,480,West
2024-01-09,Mouse,57,481,North
2024-01-10,Keyboard,58,482,South
2024-01-11,Monitor,59,483,East
2024-01-12,Headphones,60,484,West
2024-01-13,Laptop,61,485,North
2024-01-14,Mouse,62,486,South
2024-01-15,Keyboard,63,487,East
2024-01-16,Monitor,64,488,West
2024-01-17,Headphones,65,489,North
2024-01-18,Laptop,66,490,South
2024-01-19,Mouse,67,491,East
2024-01-20,Keyboard,68,492,West
2024-01-21,Monitor,69,493,North
2024-01-22,Headphones,70,494,South
2024-01-23,Laptop,71,495,East
2024-01-24,Mouse,72,496,West
2024-01-25,Keyboard,73,497,North
2024-01-26,Monitor,74,498,South
2024-01-27,Headphones,75,499,East
2024-01-28,Laptop,76,500,West
2024-01-01,Mouse,77,501,North
2024-01-02,Keyboard,78,502,South
2024-01-03,Monitor,79,503,East
2024-01-04,Headphones,80,504,West
2024-01-05,Laptop,81,505,North
2024-01-06,Mouse,82,506,South
2024-01-07,Keyboard,83,507,East
2024-01-08,Monitor,84,508,West
2024-01-09,Headphones,85,509,North
2024-01-10,Laptop,86,510,South
2024-01-11,Mouse,87,511,East
2024-01-12,Keyboard,88,512,West
2024-01-13,Monitor,89,513,North
2024-01-14,Headphones,90,514,South
2024-01-15,Laptop,91,515,East
2024-01-16,Mouse,92,516,West
2024-01-17,Keyboard,93,517,North
2024-01-18,Monitor,94,518,South
2024-01-19,Headphones,95,519,East
2024-01-20,Laptop,96,520,West
2024-01-21,Mouse,97,521,North
2024-01-22,Keyboard,98,522,South
2024-01-23,Monitor,99,523,East
2024-01-24,Headphones,100,524,West
2024-01-25,Laptop,1,525,North
2024-01-26,Mouse,2,526,South
2024-01-27,Keyboard,3,527,East
2024-01-28,Monitor,4,528,West
2024-01-01,Headphones,5,529,North
2024-01-02,Laptop,6,530,South
2024-01-03,Mouse,7,531,East
2024-01-04,Keyboard,8,532,West
2024-01-05,Monitor,9,533,North
2024-01-06,Headphones,10,534,South
2024-01-07,Laptop,11,535,East
2024-01-08,Mouse,12,536,West
2024-01-09,Keyboard,13,537,North
2024-01-10,Monitor,14,538,South
2024-01-11,Headphones,15,539,East
2024-01-12,Laptop,16,540,West
2024-01-13,Mouse,17,541,North
2024-01-14,Keyboard,18,542,South
2024-01-15,Monitor,19,543,East
2024-01-16,Headphones,20,544,West
2024-01-17,Laptop,21,545,North
2024-01-18,Mouse,22,546,South
2024-01-19,Keyboard,23,547,East
2024-01-20,Monitor,24,548,West
2024-01-21,Headphones,25,549,North
2024-01-22,Laptop,26,550,South
2024-01-23,Mouse,27,551,East
2024-01-24,Keyboard,28,552,West
2024-01-25,Monitor,29,553,North
2024-01-26,Headphones,30,554,South
2024-01-27,Laptop,31,555,East
2024-01-28,Mouse,32,556,West
2024-01-01,Keyboard,33,557,North
2024-01-02,Monitor,34,558,South
2024-01-03,Headphones,35,559,East
2024-01-04,Laptop,36,560,West
2024-01-05,Mouse,37,561,North
2024-01-06,Keyboard,38,562,South
2024-01-07,Monitor,39,563,East
2024-01-08,Headphones,40,564,West
2024-01-09,Laptop,41,565,North
2024-01-10,Mouse,42,566,South
2024-01-11,Keyboard,43,567,East
2024-01-12,Monitor,44,568,West
2024-01-13,Headphones,45,569,North
2024-01-14,Laptop,46,570,South
2024-01-15,Mouse,47,571,East
2024-01-16,Keyboard,48,572,West
2024-01-17,Monitor,49,573,North
2024-01-18,Headphones,50,574,South
2024-01-19,Laptop,51,575,East
2024-01-20,Mouse,52,576,West
2024-01-21,Keyboard,53,577,North
2024-01-22,Monitor,54,578,South
2024-01-23,Headphones,55,579,East
2024-01-24,Laptop,56,580,West
2024-01-25,Mouse,57,581,North
2024-01-26,Keyboard,58,582,South
2024-01-27,Monitor,59,583,East
2024-01-28,Headphones,60,584,West
2024-01-01,Laptop,61,585,North
2024-01-02,Mouse,62,586,South
2024-01-03,Keyboard,63,587,East
2024-01-04,Monitor,64,588,West
2024-01-05,Headphones,65,589,North
2024-01-06,Laptop,66,590,South
2024-01-07,Mouse,67,591,East
2024-01-08,Keyboard,68,592,West
2024-01-09,Monitor,69,593,North
2024-01-10,Headphones,70,594,South
2024-01-11,Laptop,71,595,East
2024-01-12,Mouse,72,596,West
2024-01-13,Keyboard,73,597,North
2024-01-14,Monitor,74,598,South
2024-01-15,Headphones,75,599,East
2024-01-16,Laptop,76,600,West
2024-01-17,Mouse,77,601,North
2024-01-18,Keyboard,78,602,South
2024-01-19,Monitor,79,603,East
2024-01-20,Headphones,80,604,West
2024-01-21,Laptop,81,605,North
2024-01-22,Mouse,82,606,South
2024-01-23,Keyboard,83,607,East
2024-01-24,Monitor,84,608,West
2024-01-25,Headphones,85,609,North
2024-01-26,Laptop,86,610,South
2024-01-27,Mouse,87,611,East
2024-01-28,Keyboard,88,612,West
2024-01-01,Monitor,89,613,North
2024-01-02,Headphones,90,614,South
2024-01-03,Laptop,91,615,East
2024-01-04,Mouse,92,616,West
2024-01-05,Keyboard,93,617,North
2024-01-06,Monitor,94,618,South
2024-01-07,Headphones,95,619,East
2024-01-08,Laptop,96,620,West
2024-01-09,Mouse,97,621,North
2024-01-10,Keyboard,98,622,South
2024-01-11,Monitor,99,623,East
2024-01-12,Headphones,100,624,West
2024-01-13,Laptop,1,625,North
2024-01-14,Mouse,2,626,South
2024-01-15,Keyboard,3,627,East
2024-01-16,Monitor,4,628,West
2024-01-17,Headphones,5,629,North
2024-01-18,Laptop,6,630,South
2024-01-19,Mouse,7,631,East
2024-01-20,Keyboard,8,632,West
2024-01-21,Monitor,9,633,North
2024-01-22,Headphones,10,634,South
2024-01-23,Laptop,11,635,East
2024-01-24,Mouse,12,636,West
2024-01-25,Keyboard,13,637,North
2024-01-26,Monitor,14,638,South
2024-01-27,Headphones,15,639,East
2024-01-28,Laptop,16,640,West
2024-01-01,Mouse,17,641,North
2024-01-02,Keyboard,18,642,South
2024-01-03,Monitor,19,643,East
2024-01-04,Headphones,20,644,West
2024-01-05,Laptop,21,645,North
2024-01-06,Mouse,22,646,South
2024-01-07,Keyboard,23,647,East
2024-01-08,Monitor,24,648,West
2024-01-09,Headphones,25,649,North
2024-01-10,Laptop,26,650,South
2024-01-11,Mouse,27,651,East
2024-01-12,Keyboard,28,652,West
2024-01-13,Monitor,29,653,North
2024-01-14,Headphones,30,654,South
2024-01-15,Laptop,31,655,East
2024-01-16,Mouse,32,656,West
2024-01-17,Keyboard,33,657,North
2024-01-18,Monitor,34,658,South
2024-01-19,Headphones,35,659,East
2024-01-20,Laptop,36,660,West
2024-01-21,Mouse,37,661,North
2024-01-22,Keyboard,38,662,South
2024-01-23,Monitor,39,663,East
2024-01-24,Headphones,40,664,West
2024-01-25,Laptop,41,665,North
2024-01-26,Mouse,42,666,South
2024-01-27,Keyboard,43,667,East
2024-01-28,Monitor,44,668,West
2024-01-01,Headphones,45,669,North
2024-01-02,Laptop,46,670,South
2024-01-03,Mouse,47,671,East
2024-01-04,Keyboard,48,672,West
2024-01-05,Monitor,49,673,North
2024-01-06,Headphones,50,674,South
2024-01-07,Laptop,51,675,East
2024-01-08,Mouse,52,676,West
2024-01-09,Keyboard,53,677,North
2024-01-10,Monitor,54,678,South
2024-01-11,Headphones,55,679,East
2024-01-12,Laptop,56,680,West
2024-01-13,Mouse,57,681,North
2024-01-14,Keyboard,58,682,South
2024-01-15,Monitor,59,683,East
2024-01-16,Headphones,60,684,West
2024-01-17,Laptop,61,685,North
2024-01-18,Mouse,62,686,South
2024-01-19,Keyboard,63,687,East
2024-01-20,Monitor,64,688,West
2024-01-21,Headphones,65,689,North
2024-01-22,Laptop,66,690,South
2024-01-23,Mouse,67,691,East
2024-01-24,Keyboard,68,692,West
2024-01-25,Monitor,69,693,North
2024-01-26,Headphones,70,694,South
2024-01-27,Laptop,71,695,East
2024-01-28,Mouse,72,696,West
2024-01-01,Keyboard,73,697,North
2024-01-02,Monitor,74,698,South
2024-01-03,Headphones,75,699,East
2024-01-04,Laptop,76,700,West
2024-01-05,Mouse,77,701,North
2024-01-06,Keyboard,78,702,South
2024-01-07,Monitor,79,703,East
2024-01-08,Headphones,80,704,West
2024-01-09,Laptop,81,705,North
2024-01-10,Mouse,82,706,South
2024-01-11,Keyboard,83,707,East
2024-01-12,Monitor,84,708,West
2024-01-13,Headphones,85,709,North
2024-01-14,Laptop,86,710,South
2024-01-15,Mouse,87,711,East
2024-01-16,Keyboard,88,712,West
2024-01-17,Monitor,89,713,North
2024-01-18,Headphones,90,714,South
2024-01-19,Laptop,91,715,East
2024-01-20,Mouse,92,716,West
2024-01-21,Keyboard,93,717,North
2024-01-22,Monitor,94,718,South
2024-01-23,Headphones,95,719,East
2024-01-24,Laptop,96,720,West
2024-01-25,Mouse,97,721,North
2024-01-26,Keyboard,98,722,South
2024-01-27,Monitor,99,723,East
2024-01-28,Headphones,100,724,West
2024-01-01,Laptop,1,725,North
2024-01-02,Mouse,2,726,South
2024-01-03,Keyboard,3,727,East
2024-01-04,Monitor,4,728,West
2024-01-05,Headphones,5,729,North
2024-01-06,Laptop,6,730,South
2024-01-07,Mouse,7,731,East
2024-01-08,Keyboard,8,732,West
2024-01-09,Monitor,9,733,North
2024-01-10,Headphones,10,734,South
2024-01-11,Laptop,11,735,East
2024-01-12,Mouse,12,736,West
2024-01-13,Keyboard,13,737,North
2024-01-14,Monitor,14,738,South
2024-01-15,Headphones,15,739,East
2024-01-16,Laptop,16,740,West
2024-01-17,Mouse,17,741,North
2024-01-18,Keyboard,18,742,South
2024-01-19,Monitor,19,743,East
2024-01-20,Headphones,20,744,West
2024-01-21,Laptop,21,745,North
2024-01-22,Mouse,22,746,South
2024-01-23,Keyboard,23,747,East
2024-01-24,Monitor,24,748,West
2024-01-25,Headphones,25,749,North
2024-01-26,Laptop,26,750,South
2024-01-27,Mouse,27,751,East
2024-01-28,Keyboard,28,752,West
2024-01-01,Monitor,29,753,North
2024-01-02,Headphones,30,754,South
2024-01-03,Laptop,31,755,East
2024-01-04,Mouse,32,756,West
2024-01-05,Keyboard,33,757,North
2024-01-06,Monitor,34,758,South
2024-01-07,Headphones,35,759,East
2024-01-08,Laptop,36,760,West
2024-01-09,Mouse,37,761,North
2024-01-10,Keyboard,38,762,South
2024-01-11,Monitor,39,763,East
2024-01-12,Headphones,40,764,West
2024-01-13,Laptop,41,765,North
2024-01-14,Mouse,42,766,South
2024-01-15,Keyboard,43,767,East
2024-01-16,Monitor,44,768,West
2024-01-17,Headphones,45,769,North
2024-01-18,Laptop,46,770,South
2024-01-19,Mouse,47,771,East
2024-01-20,Keyboard,48,772,West
2024-01-21,Monitor,49,773,North
2024-01-22,Headphones,50,774,South
2024-01-23,Laptop,51,775,East
2024-01-24,Mouse,52,776,West
2024-01-25,Keyboard,53,777,North
2024-01-26,Monitor,54,778,South
2024-01-27,Headphones,55,779,East
2024-01-28,Laptop,56,780,West
2024-01-01,Mouse,57,781,North
2024-01-02,Keyboard,58,782,South
2024-01-03,Monitor,59,783,East
2024-01-04,Headphones,60,784,West
2024-01-05,Laptop,61,785,North
2024-01-06,Mouse,62,786,South
2024-01-07,Keyboard,63,787,East
2024-01-08,Monitor,64,788,West
2024-01-09,Headphones,65,789,North
2024-01-10,Laptop,66,790,South
2024-01-11,Mouse,67,791,East
